x-axis,1
second,Volt
-12.09375E+00,
-12.07813E+00,
-12.06250E+00,
-12.04688E+00,
-12.03125E+00,
-12.01563E+00,
-12.00000E+00,
-11.98438E+00,
-11.96875E+00,
-11.95313E+00,
-11.93750E+00,
-11.92188E+00,
-11.90625E+00,+36.42E-03
-11.89063E+00,+32.20E-03
-11.87500E+00,+46.72E-03
-11.85938E+00,+47.02E-03
-11.84375E+00,+31.84E-03
-11.82813E+00,+35.91E-03
-11.81250E+00,+30.44E-03
-11.79688E+00,+36.97E-03
-11.78125E+00,+31.04E-03
-11.76563E+00,+34.21E-03
-11.75000E+00,+45.31E-03
-11.73438E+00,+35.46E-03
-11.71875E+00,+44.21E-03
-11.70313E+00,+35.01E-03
-11.68750E+00,+27.97E-03
-11.67188E+00,+33.80E-03
-11.65625E+00,+34.31E-03
-11.64063E+00,+37.12E-03
-11.62500E+00,+34.26E-03
-11.60938E+00,+35.61E-03
-11.59375E+00,+32.20E-03
-11.57813E+00,+32.90E-03
-11.56250E+00,+33.90E-03
-11.54688E+00,+27.47E-03
-11.53125E+00,+34.76E-03
-11.51563E+00,+36.62E-03
-11.50000E+00,+37.82E-03
-11.48438E+00,+35.11E-03
-11.46875E+00,+33.85E-03
-11.45313E+00,+27.07E-03
-11.43750E+00,+26.52E-03
-11.42188E+00,+32.90E-03
-11.40625E+00,+33.55E-03
-11.39063E+00,+41.29E-03
-11.37500E+00,+36.42E-03
-11.35938E+00,+32.70E-03
-11.34375E+00,+39.78E-03
-11.32813E+00,+33.05E-03
-11.31250E+00,+34.81E-03
-11.29688E+00,+40.54E-03
-11.28125E+00,+35.91E-03
-11.26563E+00,+47.12E-03
-11.25000E+00,+45.96E-03
-11.23438E+00,+43.05E-03
-11.21875E+00,+39.88E-03
-11.20313E+00,+43.35E-03
-11.18750E+00,+46.82E-03
-11.17188E+00,+38.73E-03
-11.15625E+00,+29.13E-03
-11.14063E+00,+44.46E-03
-11.12500E+00,+34.96E-03
-11.10938E+00,+39.13E-03
-11.09375E+00,+36.01E-03
-11.07813E+00,+46.06E-03
-11.06250E+00,+49.23E-03
-11.04688E+00,+52.65E-03
-11.03125E+00,+50.13E-03
-11.01563E+00,+55.96E-03
-11.00000E+00,+41.64E-03
-10.98438E+00,+49.83E-03
-10.96875E+00,+31.69E-03
-10.95313E+00,+36.27E-03
-10.93750E+00,+32.30E-03
-10.92188E+00,+37.37E-03
-10.90625E+00,+30.08E-03
-10.89063E+00,+32.45E-03
-10.87500E+00,+36.52E-03
-10.85938E+00,+35.41E-03
-10.84375E+00,+28.68E-03
-10.82813E+00,+40.59E-03
-10.81250E+00,+54.71E-03
-10.79688E+00,+33.00E-03
-10.78125E+00,+46.11E-03
-10.76563E+00,+47.07E-03
-10.75000E+00,+48.38E-03
-10.73438E+00,+46.62E-03
-10.71875E+00,+46.52E-03
-10.70313E+00,+35.86E-03
-10.68750E+00,+43.20E-03
-10.67188E+00,+34.36E-03
-10.65625E+00,+48.43E-03
-10.64063E+00,+48.23E-03
-10.62500E+00,+33.20E-03
-10.60938E+00,+34.76E-03
-10.59375E+00,+40.18E-03
-10.57813E+00,+35.11E-03
-10.56250E+00,+45.01E-03
-10.54688E+00,+46.77E-03
-10.53125E+00,+39.93E-03
-10.51563E+00,+34.71E-03
-10.50000E+00,+41.59E-03
-10.48438E+00,+41.04E-03
-10.46875E+00,+43.80E-03
-10.45313E+00,+42.09E-03
-10.43750E+00,+31.84E-03
-10.42188E+00,+30.89E-03
-10.40625E+00,+29.58E-03
-10.39063E+00,+36.06E-03
-10.37500E+00,+38.68E-03
-10.35938E+00,+32.09E-03
-10.34375E+00,+50.59E-03
-10.32813E+00,+38.53E-03
-10.31250E+00,+46.11E-03
-10.29688E+00,+36.52E-03
-10.28125E+00,+28.73E-03
-10.26563E+00,+40.94E-03
-10.25000E+00,+49.53E-03
-10.23438E+00,+32.14E-03
-10.21875E+00,+39.38E-03
-10.20313E+00,+32.50E-03
-10.18750E+00,+34.56E-03
-10.17188E+00,+46.37E-03
-10.15625E+00,+40.49E-03
-10.14063E+00,+39.98E-03
-10.12500E+00,+45.66E-03
-10.10938E+00,+44.51E-03
-10.09375E+00,+39.78E-03
-10.07813E+00,+35.16E-03
-10.06250E+00,+31.74E-03
-10.04688E+00,+38.78E-03
-10.03125E+00,+36.87E-03
-10.01563E+00,+39.03E-03
-10.00000E+00,+49.73E-03
-9.98438E+00,+38.83E-03
-9.96875E+00,+52.60E-03
-9.95313E+00,+39.13E-03
-9.93750E+00,+48.88E-03
-9.92188E+00,+29.18E-03
-9.90625E+00,+38.33E-03
-9.89063E+00,+44.61E-03
-9.87500E+00,+37.57E-03
-9.85938E+00,+49.28E-03
-9.84375E+00,+36.62E-03
-9.82813E+00,+49.78E-03
-9.81250E+00,+47.42E-03
-9.79688E+00,+46.97E-03
-9.78125E+00,+58.48E-03
-9.76563E+00,+56.72E-03
-9.75000E+00,+41.84E-03
-9.73438E+00,+40.18E-03
-9.71875E+00,+39.63E-03
-9.70313E+00,+40.99E-03
-9.68750E+00,+50.89E-03
-9.67188E+00,+45.61E-03
-9.65625E+00,+55.61E-03
-9.64063E+00,+39.88E-03
-9.62500E+00,+51.74E-03
-9.60938E+00,+38.88E-03
-9.59375E+00,+35.51E-03
-9.57813E+00,+48.58E-03
-9.56250E+00,+47.32E-03
-9.54688E+00,+37.12E-03
-9.53125E+00,+41.64E-03
-9.51563E+00,+35.66E-03
-9.50000E+00,+48.58E-03
-9.48438E+00,+50.13E-03
-9.46875E+00,+37.12E-03
-9.45313E+00,+38.98E-03
-9.43750E+00,+48.48E-03
-9.42188E+00,+36.11E-03
-9.40625E+00,+36.11E-03
-9.39063E+00,+44.56E-03
-9.37500E+00,+45.01E-03
-9.35938E+00,+43.20E-03
-9.34375E+00,+35.71E-03
-9.32813E+00,+48.88E-03
-9.31250E+00,+35.31E-03
-9.29688E+00,+35.26E-03
-9.28125E+00,+45.01E-03
-9.26563E+00,+41.34E-03
-9.25000E+00,+35.96E-03
-9.23438E+00,+41.14E-03
-9.21875E+00,+43.75E-03
-9.20313E+00,+38.78E-03
-9.18750E+00,+41.74E-03
-9.17188E+00,+39.68E-03
-9.15625E+00,+34.81E-03
-9.14063E+00,+37.52E-03
-9.12500E+00,+36.72E-03
-9.10938E+00,+43.90E-03
-9.09375E+00,+50.13E-03
-9.07813E+00,+44.21E-03
-9.06250E+00,+46.87E-03
-9.04688E+00,+43.95E-03
-9.03125E+00,+45.46E-03
-9.01563E+00,+49.48E-03
-9.00000E+00,+54.15E-03
-8.98438E+00,+43.05E-03
-8.96875E+00,+38.28E-03
-8.95313E+00,+39.73E-03
-8.93750E+00,+40.34E-03
-8.92188E+00,+51.64E-03
-8.90625E+00,+51.49E-03
-8.89063E+00,+46.32E-03
-8.87500E+00,+47.47E-03
